ON	301	^(.*)\?nocache=.*$	/$1
ON	301	^/author/.*$	/
ON	301	^/blog/page/\d+/?$	/
ON	301	^/blog/category/.*$	/
ON	410	^(.*/)?feed/?$	
ON	410	^/blog/(category|tag|page|feed).*	
ON	301	^/blog/.*/([^/]+)/?$	/$1/
ON	301	/architect-advantage-thank-you/	https://develop-coaching.com/architect-advantage-thank-you.html
ON	301	/architect-advantage	https://develop-coaching.com/architect-advantage.html
ON	301	/uk-cost-guide-download-2/	/aus-cost-guide-download/
ON	301	/thank-you-2/	/thank-you-5m-builder-gameplan/
ON	301	/the-5-pillars-scale/	/5-pillars-free-trainings/scale/
ON	301	/the-5-pillars-deliver/	/5-pillars-free-trainings/deliver/
ON	301	/the-5-pillars-convert/	/5-pillars-free-trainings/convert/
ON	301	/the-5-pillars-attract/	/5-pillars-free-trainings/attract/
ON	301	/5-pillars-plan/	/5-pillars-free-trainings/plan/
ON	301	/built-to-cash-out/	/sell-your-construction-company/
ON	301	/podcast/8467-2/	https://develop-coaching.com/podcast/brand-competitor-advantage-john-lenker/
ON	301	/book-scales-session/	/book-scale-session/
ON	301	/dtc-call-only/	/book-scales-session/
ON	301	/feedback-frenzy-how-to-get-more-5-star-reviews-old-3/	/ultimate-pm-planner/
ON	301	/construction-podcast-2/	/construction-podcast/
ON	301	/corporate-structure-notice-april-2025/	/corporate-structure-notice/
ON	301	/thank-you-2/	/corporate-structure-notice-april-2025/
ON	301	/the-build-and-scale-summit/	/the-build-scale-summit/
ON	301	/the-build-and-scale-summit/	/the-build-and-scale-summit-2025/
ON	301	/schedule-a-call-book-2/	/schedule-a-call-subscribe/
ON	301	/5-steps-to-5-million-london-uk-2/	/the-build-and-scale-summit-2025/
ON	301	/the-build-scale-summit-2025/	/the-build-and-scale-summit-2025/
ON	301	/podcast-transcript/its-ok-to-quit-and-change-direction-with-rodric-lenheart/	https://develop-coaching.com/podcast-transcript/its-ok-to-quit-and-change-direction-with-rodric-lenheart-3/
ON	301	/podcast-transcript/its-ok-to-quit-and-change-direction-with-rodric-lenheart-2/	https://develop-coaching.com/podcast-transcript/its-ok-to-quit-and-change-direction-with-rodric-lenheart-3/
ON	301	/podcast-transcript/9475-2/	/construction-podcast/
ON	301	/download-build-your-future/	/download-book/
ON	301	/thank-you-subscribe/	/thank-you-subscribe-2/
ON	301	/construction-business-profits-2/	/construction-business-profits/
ON	301	/blog/2024/02/07/how-to-grow-your-construction-profit-margin-uk/	/blog/2024/02/07/construction-profit-margin-uk/
ON	301	/new-how-a-va-will-save-you-10-hours-a-week-and-make-you-more-🤑/	/va/
ON	301	/new-feedback-frenzy-how-to-get-more-5-reviews/	/feedback-frenzy-how-to-get-more-5-star-reviews/
ON	301	/new-finish-on-time-every-time/	/finish-on-time-every-time/
ON	301	/streamlined-procurement-system-2/	/streamlined-procurement-system/
ON	301	/new-the-optimised-office-team/	/the-optimised-office-team/
ON	301	/new-show-up-like-a-boss-in-2024/	/show-up-like-a-boss-in-2024/
ON	301	/new-the-switch-off/	/the-switch-off/
ON	301	/new-strategic-planning-for-2024/	/strategic-planning-for-2024/
ON	301	/new-the-big-growth-plan/	/the-big-growth-plan/
