Old URL	Redirects To
/2019/06/24	/
/2021/09/16	/
/2022/02/06	/
/2022/02/13	/
/2022/04/02	/
/2022/05/03	/
/2022/07/05	/
/2022/10/10	/
/2022/11/02	/
/2023/02/27	/
/2023/03/30	/
/2023/04/29	/
/2023/05/30	/
/2023/06/27	/
/2023/10/03	/
/2023/10/31	/
/2023/12/29	/
/2024/02/07	/
/2024/04/04	/
/2024/05/06	/
/2025/03/11	/
/2025/07/25	/
/2026/01/26	/
/2026/06/03	/
/2026/06/05	/
/2026/06/29	/
/3-ways-to-attract-the-right-kind-of-clients	/attract-the-right-clients/
/5-pillars-plan	/5-pillars-free-trainings/plan/
/5-reasons-ealing-one-best-places-live-london	/5-reasons-to-live-in-ealing-london/
/5-steps-to-5-million-edinburgh-2	/5-steps-to-5-million-edinburgh-registration/
/5-steps-to-5-million-edinburgh-registration	/5-steps-to-5-million-edinburgh-registration-2/
/5-steps-to-5-million-london-uk-2	/the-build-and-scale-summit-2025/
/5-steps-to-5-million-london-vip	/upgradelondonvip/
/6-compelling-reasons-need-loft-conversion	/6-reasons-you-need-a-loft-conversion/
/about-me	/about-greg-wilkes
/about.html	/why-jw/
/about/references-and-testimonials.html	/portfolio/
/architect-advantage	/architect-advantage.html
/architect-advantage-thank-you	/architect-advantage-thank-you.html
/black-friday-sale-starts-now-2-5-discount-off-quote	/black-friday-sale-starts-now/
/blog.html	/blog/
/blog/10-jobs-to-protect-your-home-this-winter.html	/10-jobs-protect-home-winter/
/blog/2019/06/24/stop-wasting-time-on-quotes	/blog/2019/06/24/how-to-stop-wasting-time-on-quotes/
/blog/2019/07/31/social-media-construction	/blog/2019/07/31/social-media-construction-industry/
/blog/2019/07/31/social-media-construction-company	/blog/2019/07/31/social-media-construction/
/blog/2019/07/31/social-media-construction-industry	/social-media-construction-industry/
/blog/2019/08/19/paid-digital-advertising	/blog/2019/08/19/digital-marketing-for-construction/
/blog/2019/09/11/how-to-find-and-keep-excellent-staff	/blog/2019/09/11/finding-skilled-tradesmen/
/blog/2020/04/02/cut-expenses-for-construction-business	/cost-cutting-in-construction/
/blog/2020/04/17/how-can-i-make-the-best-use-of-my-time-at-home	/blog/2020/04/17/how-to-grow-a-construction-business-2/
/blog/2021/09/09/digital-marketing	/blog/2021/09/09/digital-marketing-construction/
/blog/2021/09/09/profit-and-loss-report	/blog/2021/09/09/profit-and-loss-statement-for-small-construction-company/
/blog/2021/09/23/benefits-of-the-federation-of-master-builders	/blog/2021/09/23/federation-of-master-builders/
/blog/2021/09/23/benefits-of-trade-groups	/blog/2021/09/23/benefits-of-the-federation-of-master-builders/
/blog/2021/09/29/image-and-branding	/blog/2021/09/29/image-and-construction-brand/
/blog/2021/09/29/image-and-construction-brand	/blog/2021/09/29/construction-brand/
/blog/2021/10/15/get-client-to-leave-a-review	/blog/2021/10/15/customer-reviews-for-construction-company/
/blog/2021/11/04/finding-your-usp	/blog/2021/11/04/usp-for-construction-company-2/
/blog/2021/12/15/find-best-tradespeople	/blog/2021/12/15/how-to-find-good-tradesmen/
/blog/2021/12/28/time-to-come-off-the-tools	/blog/2021/12/28/getting-off-the-tools/
/blog/2022/02/06/importance-of-setting-goals	/blog/2022/02/06/construction-business-goals/
/blog/2022/02/13/plan-your-site-set-up	/blog/2022/02/13/construction-site-set-up-plan/
/blog/2022/04/02/how-to-get-construction-clients	/blog/2022/04/02/how-to-get-clients-in-construction/
/blog/2022/04/26/how-much-money-do-i-need-to-retire	/blog/2022/04/26/sell-construction-company/
/blog/2022/04/26/recruit-construction-business	/blog/2022/04/26/how-to-recruit-for-your-construction-business-2/
/blog/2022/05/03/win-back-time-construction-business	/blog/2022/05/03/time-in-construction/
/blog/2022/05/04/best-social-media-platforms-for-construction-compani	/blog/2022/05/04/best-social-media-platforms-for-construction-companies/
/blog/2022/05/04/social-media-for-construction	/best-social-media-platforms-for-construction-companies/
/blog/2022/07/05/how-to-become-a-trade-mastermind-in-your-construction-business	/blog/2022/07/05/trade-mastermind-construction/
/blog/2022/09/08/usp-beginners-guide	/blog/2022/09/08/usp-for-construction-company/
/blog/2022/09/08/usp-for-construction-company	/usp-for-construction-company/
/blog/2022/10/10/how-to-measure-business-performance	/blog/2022/10/10/construction-business-performance/
/blog/2022/11/02/your-guide-to-construction-business-systems-processes	/blog/2022/11/02/construction-business-systems/
/blog/2022/12/06/business-coach-construction	/blog/2022/12/06/business-coaching-for-construction/
/blog/2022/12/06/business-coaching-for-construction	/business-coaching-for-construction/
/blog/2022/12/06/business-coaching-for-construction-strategies-for-success	/blog/2022/12/06/business-coach-construction/
/blog/2022/12/06/why-need-construction-business-coach	/blog/2022/12/06/business-coaching-for-construction-strategies-for-success/
/blog/2023/01/02/the-8-best-tools-for-marketing-your-construction-business	/blog/2023/01/02/construction-business-marketing/
/blog/2023/01/24/how-to-grow-your-construction-company	/blog/2023/01/24/how-to-grow-a-construction-business/
/blog/2023/01/24/the-ultimate-guide-to-growing-your-construction-company	/blog/2023/01/24/how-to-grow-a-construction-business/
/blog/2023/02/27/how-to-optimise-your-sales-funnel-in-your-construction-business	/construction-sales-funnel/
/blog/2023/03/30/maximizing-profits-how-to-save-money-in-your-construction-business	/construction-business-profits/
/blog/2023/04/29/how-to-recruit-for-your-construction-business	/how-to-recruit-for-your-construction-business/
/blog/2023/05/30/construction-business-plan	/construction-business-plan/
/blog/2023/05/30/do-you-have-a-12-month-plan-for-your-construction-business	/blog/2023/05/30/construction-business-plan/
/blog/2023/06/27/how-to-use-social-media-for-your-construction-business-in-2023	/blog/2023/06/27/how-to-use-social-media-for-construction-business/
/blog/2023/10/03/mastering-construction-hiring-key-steps-for-building-a-skilled-workforce	/mastering-construction-hiring-key-steps-for-building-a-skilled-workforce/
/blog/2023/10/31/construction-marketing	/construction-marketing/
/blog/2023/10/31/ready-to-transform-your-construction-business-with-marketing	/blog/2023/10/31/construction-marketing/
/blog/2023/12/29/accounting-for-construction-companies	/accounting-for-construction-companies/
/blog/2023/12/29/navigating-the-numbers-effective-construction-company-accounts	/blog/2023/12/29/accounting-for-construction-companies/
/blog/2024/02/07/how-to-grow-your-construction-company-profit-margin	/blog/2024/02/07/how-to-grow-your-construction-profit-margin-uk/
/blog/2024/02/07/how-to-grow-your-construction-profit-margin-uk	/blog/2024/02/07/construction-profit-margin-uk/
/blog/2024/03/06/unlocking-growth-through-construction-business-networking	/construction-networking/
/blog/2024/04/04/construction-lead-generation	/construction-lead-generation/
/blog/2024/04/04/unlocking-the-secrets-of-effective-construction-lead-generation	/blog/2024/04/04/construction-lead-generation/
/blog/2024/05/02/10-ways-to-effectively-manage-a-construction-business	/blog/2024/05/06/10-ways-to-effectively-manage-a-construction-business/
/blog/2024/05/06/10-tips-for-successful-construction-project-management	/blog/2024/05/06/construction-project-management10-tips-for-successful-construction-project-management/
/blog/2024/05/06/10-ways-to-construction-project-management-effectively	/blog/2024/05/06/10-tips-for-successful-construction-project-management/
/blog/2024/05/06/10-ways-to-effectively-manage-a-construction-business	/blog/2024/05/06/10-ways-to-construction-project-management-effectively/
/blog/2024/05/06/construction-project-management	/construction-project-management/
/blog/2024/05/06/construction-project-management10-tips-for-successful-construction-project-management	/blog/2024/05/06/construction-project-management/
/blog/5-reasons-ealing-is-one-of-the-best-places-to-live-in-london.html	/5-reasons-ealing-one-best-places-live-london/
/blog/5-tips-for-adding-style-to-your-loft-conversion.html	/5-tips-adding-style-loft-conversion/
/blog/are-you-considering-a-new-or-renovated-bathroom.html	/considering-new-renovated-bathroom/
/blog/basement-conversions-to-create-more-space.html	/cant-go-can-go-basement-conversions-create-space/
/blog/business-for-good-how-we-re-all-making-a-difference.html	/business-good-making-difference/
/blog/can-you-have-it-all-creating-space-and-the-wow-factor.html	/can-creating-space-wow-factor/
/blog/cost-of-commuting-vs-extending-your-london-home.html	/cost-commuting-vs-extending-london-home/
/blog/could-your-loft-become-your-retreat.html	/creating-space-hide-away-loft-become-retreat/
/blog/getting-roi-from-your-home-extension.html	/getting-roi-home-extension/
/blog/getting-the-builders-in-how-long-is-it-likely-to-take.html	/getting-builders-long-likely-take/
/blog/help-i-have-no-space-and-cannot-afford-to-move.html	/help-no-space-cannot-afford-move/
/blog/home-adaptations-for-those-with-disabilities.html	/home-adaptations-disabilities/
/blog/home-renovations-and-extensions-for-those-with-disabilities.html	/home-renovations-extensions-disabilities/
/blog/house-extension-advice.html	/planning-house-extension-things-need-know/
/blog/house-extension-benefits.html	/can-extend-home-benefits-2/
/blog/how-can-i-extend-my-home-and-what-are-the-benefits.html	/can-extend-home-benefits/
/blog/how-to-add-20-per-cent-to-your-property-price.html	/want-add-20-property-price-heres/
/blog/how-to-add-space-to-your-west-london-home.html	/cant-go-can-go-basement-conversions-create-space/
/blog/how-to-add-wow-factor-with-a-home-extension.html	/add-wow-factor-home-extension/
/blog/how-to-create-rooms-that-improve-your-wellbeing.html	/create-rooms-improve-wellbeing/
/blog/if-you-need-additional-space-in-your-house-have-you-considered-converting-your-garage.html	/need-additional-space-house-considered-converting-garage/
/blog/january-blues.html	/got-january-blues-weve-got-great-home-improvement-ideas-excite/
/blog/loft-conversion-design-advice.html	/ideas-advice-designing-loft-conversion/
/blog/loft-conversion-need-to-know.html	/planning-loft-conversion-things-need-know/
/blog/new-design-service.html	/new-design-service/
/blog/new-kitchen-advice.html	/thinking-getting-new-kitchen-advice-get-started/
/blog/planning-for-summer.html	/planning-house-extension-loft-conversion-summer-start-process-now/
/blog/staircases-for-loft-conversions-ideas-to-explore.html	/staircases-loft-conversions-ideas-explore/
/blog/the-benefits-of-a-loft-conversion.html	/benefits-loft-conversion/
/blog/top-ten-tips-to-add-value-to-your-home.html	/top-ten-tips-add-value-home/
/blog/turn-your-end-of-year-bonus-into-an-investment.html	/turn-end-year-bonus-investment/
/blog/we-are-having-a-refurbishment-of-our-own.html	/jeffery-wilkes-excited-announce-refurbishment/
/blog/what-to-do-with-your-teenagers-when-they-have-outgrown-your-house.html	/teenagers-theyve-outgrown-house/
/book-download-copy	/download-book/
/book-scales-session	/book-scale-session/
/build-your-future-2024	/5-steps-to-5-million/
/build-your-future-event	/build-your-future-event-page/
/build-your-future-event-2	/build-your-future/
/built-to-cash-out	/sell-your-construction-company/
/cant-decide-benefit-home-extension-home-refurbishment	/home-extension-or-home-refurbishment/
/cant-go-can-go-basement-conversions-create-space	/basement-conversions-create-space/
/case-study	/about-greg-wilkes
/choose-right-refurbishment-service-london	/choose-refurbishment-service-london/
/construction-business-profits-2	/construction-business-profits/
/construction-podcast-2	/construction-podcast/
/contact-us.html	/contact/
/coronavirus-pandemic-affect-construction-business	/pandemic-affect-construction/
/corporate-structure-notice-april-2025	/corporate-structure-notice/
/creating-a-home-extension-with-the-wow-factor-part-4-roofs	/home-extension-guide-roofs/
/creating-home-extension-wow-factor-heating-electric	/home-extension-guide-electrics/
/creating-space-hide-away-loft-become-retreat	/creating-space-loft-can-become-retreat/
/deciding-which-builder-to-choose-for-your-project-can-be-difficult	/choosing-a-builder-can-be-difficult/
/design-and-technical-drawings	/drawings/
/designandbuild/a	https://www.jefferyandwilkes.co.uk/design-and-build/
/develop-case-study	/about-me/
/disabled-adaptations.php	/design-and-build/
/download-book-2	/download-book-form/
/download-build-your-future	/download-book/
/dtc-call-only	/book-scales-session/
/electrical	/electrical-business-coach/
/electrical-services.html	/design-and-build/
/elementor-13050	/freedom-figure-new/
/elementor-13075	/new-the-lead-analyser/
/elementor-13089	/new-the-daily-time-out/
/elementor-13094	/new-the-system-saver/
/elementor-13102	/new-attract-the-best/
/elementor-13116	/new-the-sales-mastery/
/elementor-13127	/the-perfect-presentation-2/
/elementor-13132	/new-the-architect-attractor/
/elementor-13140	/new-the-perfect-site-setup/
/elementor-13145	/the-hand-off-2/
/elementor-13153	/new-the-time-trade/
/elementor-13158	/new-the-big-growth-plan/
/elementor-13163	/new-strategic-planning-for-2024/
/elementor-13178	/new-show-up-like-a-boss-in-2024/
/elementor-13183	/new-the-optimised-office-team/
/elementor-13198	/new-finish-on-time-every-time/
/elementor-13203	/new-feedback-frenzy-how-to-get-more-5-reviews/
/elementor-13208	/new-how-a-va-will-save-you-10-hours-a-week-and-make-you-more-%f0%9f%a4%91/
/elementor-2778	/win-big-clients-webinar/
/elementor-2795	/greg-wilkes-media/
/elementor-3066	/15-minute-scale-session/
/elementor-8835	/build-your-future-2024/
/ensure-choosing-right-company-refurbish-home	/choosing-right-company-refurbish-home/
/event-sample	/build-your-future-event-2/
/extension-bungalow-best-decision-can-make	/an-extension-to-your-bungalow/
/extensions.html	/services/home-extensions/
/extensions/planning-permission-faq-s.html	/services/home-extensions/
/feedback-frenzy-how-to-get-more-5-star-reviews-old-3	/ultimate-pm-planner/
/finish-on-time-every-time-2	/win-big-clients/
/freedom-figure	/landing-pages-template/
/freedom-figure-new	/the-freedom-figure/
/galleries/extensions.html	/portfolio/
/galleries/loft-conversions.html	/portfolio/
/galleries/public-sector.html	/portfolio/
/get-ahead-with-digital-marketing	/digital-marketing/
/got-january-blues-weve-got-great-home-improvement-ideas-excite	/great-home-improvement-ideas/
/home-extension-with-the-wow-factor-part-10-smart-technology	/home-extension-guide-smart-technology/
/home-extension-with-the-wow-factor-windows-and-doors	/home-extension-guide-windows-doors/
/home-extension-with-wow-factor-electrical-light	/home-extension-guide-electrical-light/
/home-extension-with-wow-factor-natural-light	/home-extension-guide-natural-light/
/home-extension-with-wow-factor-part-1	/home-extension-guide-experts-required/
/home-extension-with-wow-factor-part-2	/home-extension-guide-planningpermission/
/home-extension-with-wow-factor-part-3	/home-extension-guide-extension-types/
/home-extensions-home-extension-london-earn-fortune-next-year	/home-extension-london-earn-a-fortune/
/home-extensions-three-great-ideas-for-your-home-extension	/3-great-ideas-for-your-home-extension/
/home-renovations-extensions-disabilities	/home-renovation-extension-disabilities/
/home-v2	/home-2/
/how-a-virtual-assistant-can-get-your-construction-business-to-1m	/va-checklist/
/how-can-i-fund-the-renovation-for-my-dream-home	/how-can-i-fund-my-renovation/
/how-can-you-add-the-wow-factor-to-your-home	/add-the-wow-factor-to-your-home/
/how-much-money	/how-much-money-do-i-need-to-retire/
/how-to-get-a-client-to-leave-a-review	/get-client-to-leave-a-review/
/how-to-understand-a-pl-report	/profit-and-loss-report/
/how-to-use-social-media-for-your-construction-business	/social-media-for-construction/
/how-to-win-back-time-in-your-construction-business	/win-back-time-construction-business/
/ideal-loft-conversion-part-2-types-of-loft-conversion	/types-of-loft-conversion/
/ideas-outside-home-improvements	/blog/home-improvements.html
/installation-services/disabled-adaptations.html	/design-and-build/
/installation-services/eco-lofts.html	/services/loft-conversions/
/installation-services/kitchens.html	/services/refurbishments/
/installation-services/luxury-bathrooms.html	/services/refurbishments/
/installation-services/public-sector.html	/services/commercial/
/installation-services/roofing-carpentry.html	/design-and-build/
/landing-pages-template	/the-social-supercharge/
/landing-pages-template-2	/the-freedom-figure/
/landing-pages-template-3	/the-5-pillars/
/landing-pages-template-4	/the-big-5/
/landing-pages-template-5	/the-lead-analyser/
/landing-pages-template-6	/the-funnel-optimiser/
/landing-pages-template-7	/the-daily-timeout/
/landing-pages-template-8	/landing-pages-template-8-3/
/landing-pages-template-8-2	/attract-the-best/
/landing-pages-template-8-3	/the-system-saver/
/landing-pages-template-8-3-2	/the-outbound-marketing-machine/
/landing-pages-template-8-3-2-2	/the-perfect-presentation/
/landing-pages-template-8-3-2-2-2	/the-client-magnet/
/landing-pages-template-8-3-2-2-2-2	/the-achitect-attractor/
/landing-pages-template-8-3-2-2-2-2-2	/the-perfect-site-setup/
/landing-pages-template-8-3-2-2-2-2-2-2	/the-hand-off/
/landing-pages-template-8-3-2-2-2-2-2-2-2	/the-time-trade/
/landing-pages-template-8-3-2-2-2-2-2-2-2-2	/the-big-growth-plan/
/landing-pages-template-8-3-2-2-2-2-2-2-2-2-2	/strategic-planning-for-2024/
/landing-pages-template-8-3-2-2-2-2-2-2-2-2-2-2	/the-switch-off/
/landing-pages-template-8-3-2-2-2-2-2-2-2-2-2-2-2	/show-up-like-a-boss-in-2024/
/landing-pages-template-8-3-2-2-2-2-2-2-2-2-2-2-2-2	/the-optimised-office-team/
/landing-pages-template-8-3-2-2-2-2-2-2-2-2-2-2-2-2-2	/streamlined-procurement-system/
/landing-pages-template-8-3-2-2-2-2-2-2-2-2-2-2-2-2-2-2	/finish-on-time-every-time/
/landing-pages-template-8-3-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2	/feedback-frenzy-how-to-get-more-5-star-reviews/
/landing-pages-template-8-3-2-2-3	/the-sales-mastery/
/loft-conversions.html	/services/loft-conversions
/loft-conversions.php	/services/loft-conversions/
/loft-conversions/loft-conversion-faq-s.html	/services/loft-conversions/
/luxury-bathrooms.html	/services/refurbishments/
/maximizing-profits-how-to-save-money-in-your-construction-business-2	/how-to-recruit-for-your-construction-business/
/media	/how-we-work/
/my-story	/about-greg-wilkes
/need-additional-space-house-considered-converting-garage	/convert-garage-for-additional-space/
/new-19c-double-storey-extension	/19c-double-storey-extension/
/new-5-pilllars	/the-5-pillars-2/
/new-attract-the-best	/attract-the-best/
